Row	Column	Wks	Value
MONTAJE EN SERRA	MATERIAL MECÁNICO	2025.1	118000
ENR. UTILES/GARRAS	MATERIAL MECÁNICO	2025.1	355.6
ENR. UTILES/GARRAS	MATERIAL MECÁNICO	2025.1	726.24
ENR. UTILES/GARRAS	MATERIAL MECÁNICO	2025.1	9141.79
MONTAJE EN SERRA	MATERIAL MECÁNICO	2024.14	4.64
MONTAJE EN SERRA	MATERIAL MECÁNICO	2024.14	105.32
MONTAJE EN SERRA	MATERIAL MECÁNICO	2024.14	118000
MONTAJE EN SERRA	MATERIAL MECÁNICO	2024.14	3911.91
MONTAJE EN SERRA	MATERIAL MECÁNICO	2024.41	31.88
MONTAJE EN SERRA	MATERIAL MECÁNICO	2024.41	206.05
MONTAJE EN SERRA	MATERIAL MECÁNICO	2024.41	118000
MONTAJE EN SERRA	MATERIAL MECÁNICO	2024.41	1940.48
GESTION Y COORDINACION	GESTIÓN MECÁNICA	2024.21	52336.55
GESTION Y COORDINACION	GESTIÓN MECÁNICA	2025.1	104416.4
GESTION Y COORDINACION	GESTIÓN MECÁNICA	2024.14	46290.07
GESTION Y COORDINACION	GESTIÓN MECÁNICA	2024.41	77710.93
GESTION Y COORDINACION	DISEÑO ELÉCTRICO	2024.21	14679.26
GESTION Y COORDINACION	DISEÑO ELÉCTRICO	2025.1	23665.5
GESTION Y COORDINACION	DISEÑO ELÉCTRICO	2024.14	12848.26
GESTION Y COORDINACION	DISEÑO ELÉCTRICO	2024.41	18634.22
MATERIAL SERRA UNP	MATERIAL MECÁNICO	2024.21	477996
ARMARIOS ELECTRICOS	MATERIAL MECÁNICO	2024.21	7012.29
ARMARIOS ELECTRICOS	MATERIAL MECÁNICO	2024.21	100.56
FABRICACION ELEMENTOS IMPLANTA	MATERIAL MECÁNICO	2024.21	848.98
FABRICACION ELEMENTOS IMPLANTA	MATERIAL MECÁNICO	2024.21	29544.07
ENR. UTILES/GARRAS	MATERIAL MECÁNICO	2024.21	667.84
ENR. UTILES/GARRAS	MATERIAL MECÁNICO	2024.21	8080.12
MATERIAL SERRA UNP	MATERIAL MECÁNICO	2025.1	477996
MATERIAL SERRA UNP	MATERIAL MECÁNICO	2025.1	21108.92
RECEPCION UTILES	MATERIAL MECÁNICO	2025.1	277.61
RECEPCION UTILES	MATERIAL MECÁNICO	2025.1	3008.1
FABRICACION ELEMENTOS IMPLANTA	MATERIAL MECÁNICO	2025.1	874.96
FABRICACION ELEMENTOS IMPLANTA	MATERIAL MECÁNICO	2025.1	52406.58
MATERIAL SERRA UNP	MATERIAL MECÁNICO	2024.14	477996
ARMARIOS ELECTRICOS	MATERIAL MECÁNICO	2024.14	7012.29
ARMARIOS ELECTRICOS	MATERIAL MECÁNICO	2024.14	100.56
FABRICACION ELEMENTOS IMPLANTA	MATERIAL MECÁNICO	2024.14	848.98
FABRICACION ELEMENTOS IMPLANTA	MATERIAL MECÁNICO	2024.14	27605.45
ENR. UTILES/GARRAS	MATERIAL MECÁNICO	2024.14	667.84
ENR. UTILES/GARRAS	MATERIAL MECÁNICO	2024.14	8070.74
MATERIAL SERRA UNP	MATERIAL MECÁNICO	2024.41	477996
MATERIAL SERRA UNP	MATERIAL MECÁNICO	2024.41	21106.32
RECEPCION UTILES	MATERIAL MECÁNICO	2024.41	2.61
RECEPCION UTILES	MATERIAL MECÁNICO	2024.41	2892.57
ARMARIOS ELECTRICOS	MATERIAL MECÁNICO	2024.41	7012.29
ARMARIOS ELECTRICOS	MATERIAL MECÁNICO	2024.41	128.52
FABRICACION ELEMENTOS IMPLANTA	MATERIAL MECÁNICO	2024.41	848.98
FABRICACION ELEMENTOS IMPLANTA	MATERIAL MECÁNICO	2024.41	29546.59
GESTION Y COORDINACION	ROBÓTICA	2024.21	166.2
DISEÑO SOFTWARE	ROBÓTICA	2024.21	27488.42
GESTION Y COORDINACION	ROBÓTICA	2025.1	166.2
DISEÑO SOFTWARE	ROBÓTICA	2025.1	47993.68
GESTION Y COORDINACION	ROBÓTICA	2024.14	166.2
DISEÑO SOFTWARE	ROBÓTICA	2024.14	24999.45
GESTION Y COORDINACION	ROBÓTICA	2024.41	166.2
DISEÑO SOFTWARE	ROBÓTICA	2024.41	35247.65
GESTION Y COORDINACION	MONTAJE MECÁNICO	2024.21	3589.1
RECEPCION UTILES	MONTAJE MECÁNICO	2024.21	10517.45
MONTAJE EN SERRA	MONTAJE MECÁNICO	2024.21	7952.91
MONTAJE EN SERRA	MONTAJE MECÁNICO	2024.21	17820
FABRICACION UTILES/GARRAS	MONTAJE MECÁNICO	2024.21	1521.16
GESTION Y COORDINACION	MONTAJE MECÁNICO	2025.1	8614.5
RECEPCION UTILES	MONTAJE MECÁNICO	2025.1	34933
MONTAJE EN SERRA	MONTAJE MECÁNICO	2025.1	30908.4
MONTAJE EN SERRA	MONTAJE MECÁNICO	2025.1	55138
FABRICACION UTILES/GARRAS	MONTAJE MECÁNICO	2025.1	6921.42
COSTES EVITABLES	MONTAJE MECÁNICO	2025.1	1895.8
COSTES EVITABLES	MONTAJE MECÁNICO	2025.1	400
COSTES EVITABLES PROVEEDORES	MONTAJE MECÁNICO	2025.1	1781.95
GESTION Y COORDINACION	MONTAJE MECÁNICO	2024.14	3589.1
RECEPCION UTILES	MONTAJE MECÁNICO	2024.14	5989.79
MONTAJE EN SERRA	MONTAJE MECÁNICO	2024.14	6855.31
MONTAJE EN SERRA	MONTAJE MECÁNICO	2024.14	89100
FABRICACION UTILES/GARRAS	MONTAJE MECÁNICO	2024.14	1521.16
GESTION Y COORDINACION	MONTAJE MECÁNICO	2024.41	6127.3
RECEPCION UTILES	MONTAJE MECÁNICO	2024.41	12223.9
MONTAJE EN SERRA	MONTAJE MECÁNICO	2024.41	7952.91
MONTAJE EN SERRA	MONTAJE MECÁNICO	2024.41	17820
GESTION Y COORDINACION	INSTALACIÓN E.N.R.	2024.21	6955.66
MONTAJE EN SERRA	INSTALACIÓN E.N.R.	2024.21	7781.45
MONTAJE EN SERRA	INSTALACIÓN E.N.R.	2024.21	109451.96
GESTION Y COORDINACION	INSTALACIÓN E.N.R.	2025.1	18321.84
PUESTA EN MARCHA EN PLANTA	INSTALACIÓN E.N.R.	2025.1	437.16
PUESTA EN MARCHA EN PLANTA	INSTALACIÓN E.N.R.	2025.1	10394.8
MONTAJE EN SERRA	INSTALACIÓN E.N.R.	2025.1	15650.33
MONTAJE EN SERRA	INSTALACIÓN E.N.R.	2025.1	107160.56
ENR. UTILES/GARRAS	INSTALACIÓN E.N.R.	2025.1	7604.76
ENR. UTILES/GARRAS	INSTALACIÓN E.N.R.	2025.1	52355
COSTES EVITABLES	INSTALACIÓN E.N.R.	2025.1	2222.23
COSTES EVITABLES PROVEEDORES	INSTALACIÓN E.N.R.	2025.1	1020.4
GESTION Y COORDINACION	INSTALACIÓN E.N.R.	2024.14	4004.82
MONTAJE EN SERRA	INSTALACIÓN E.N.R.	2024.14	358.83
MONTAJE EN SERRA	INSTALACIÓN E.N.R.	2024.14	109451.95
GESTION Y COORDINACION	INSTALACIÓN E.N.R.	2024.41	7319.96
MONTAJE EN SERRA	INSTALACIÓN E.N.R.	2024.41	9020.07
MONTAJE EN SERRA	INSTALACIÓN E.N.R.	2024.41	10151.96
DISEÑO HARDWARE	DISEÑO ELÉCTRICO	2024.21	3222.56
DISEÑO HARDWARE	DISEÑO ELÉCTRICO	2024.21	15000
DISEÑO HARDWARE	DISEÑO ELÉCTRICO	2025.1	17961.34
DISEÑO HARDWARE	DISEÑO ELÉCTRICO	2025.1	15000
DISEÑO HARDWARE	DISEÑO ELÉCTRICO	2024.14	1464.8
DISEÑO HARDWARE	DISEÑO ELÉCTRICO	2024.14	15000
DISEÑO HARDWARE	DISEÑO ELÉCTRICO	2024.41	4687.36
DISEÑO HARDWARE	DISEÑO ELÉCTRICO	2024.41	15000
DISEÑO HARDWARE	DISEÑO NR	2024.21	7150.73
DISEÑO HARDWARE	DISEÑO NR	2025.1	11020.56
DISEÑO HARDWARE	DISEÑO NR	2024.14	5319.73
DISEÑO HARDWARE	DISEÑO NR	2024.41	8835.25
DISEÑO HARDWARE	MATERIAL MECÁNICO	2024.21	20.8
RECEPCION UTILES	MATERIAL MECÁNICO	2024.21	2547.54
FABRICACION UTILES/GARRAS	MATERIAL MECÁNICO	2024.21	94392.2
GRANDES COMPRAS	MATERIAL MECÁNICO	2024.21	317873.9
DISEÑO HARDWARE	MATERIAL MECÁNICO	2025.1	20.8
FABRICACION UTILES/GARRAS	MATERIAL MECÁNICO	2025.1	126283.51
GRANDES COMPRAS	MATERIAL MECÁNICO	2025.1	420612.8
COSTES EVITABLES	MATERIAL MECÁNICO	2025.1	157.8
DISEÑO HARDWARE	MATERIAL MECÁNICO	2024.14	20.8
RECEPCION UTILES	MATERIAL MECÁNICO	2024.14	2546.25
FABRICACION UTILES/GARRAS	MATERIAL MECÁNICO	2024.14	94308.09
GRANDES COMPRAS	MATERIAL MECÁNICO	2024.14	308993.9
DISEÑO HARDWARE	MATERIAL MECÁNICO	2024.41	20.8
DISEÑO HARDWARE	MATERIAL ELÉCTRICO	2024.21	26.23
DISEÑO UTILES/GARRAS	MATERIAL ELÉCTRICO	2024.21	86.78
ARMARIOS ELECTRICOS	MATERIAL ELÉCTRICO	2024.21	92252.51
FABRICACION ELEMENTOS IMPLANTA	MATERIAL ELÉCTRICO	2024.21	32208
MONTAJE EN SERRA	MATERIAL ELÉCTRICO	2024.21	72812.63
FABRICACION UTILES/GARRAS	MATERIAL ELÉCTRICO	2024.21	48.56
ENR. UTILES/GARRAS	MATERIAL ELÉCTRICO	2024.21	105165.91
DISEÑO HARDWARE	MATERIAL ELÉCTRICO	2025.1	26.23
DISEÑO UTILES/GARRAS	MATERIAL ELÉCTRICO	2025.1	86.78
RECEPCION UTILES	MATERIAL ELÉCTRICO	2025.1	12
ARMARIOS ELECTRICOS	MATERIAL ELÉCTRICO	2025.1	97867.6
FABRICACION ELEMENTOS IMPLANTA	MATERIAL ELÉCTRICO	2025.1	36132.57
MONTAJE EN SERRA	MATERIAL ELÉCTRICO	2025.1	102574.52
FABRICACION UTILES/GARRAS	MATERIAL ELÉCTRICO	2025.1	48.56
ENR. UTILES/GARRAS	MATERIAL ELÉCTRICO	2025.1	110134.24
DISEÑO HARDWARE	MATERIAL ELÉCTRICO	2024.14	26.23
DISEÑO UTILES/GARRAS	MATERIAL ELÉCTRICO	2024.14	59.88
ARMARIOS ELECTRICOS	MATERIAL ELÉCTRICO	2024.14	90090.88
FABRICACION ELEMENTOS IMPLANTA	MATERIAL ELÉCTRICO	2024.14	32208
MONTAJE EN SERRA	MATERIAL ELÉCTRICO	2024.14	99931.76
ENR. UTILES/GARRAS	MATERIAL ELÉCTRICO	2024.14	106038.8
DISEÑO HARDWARE	MATERIAL ELÉCTRICO	2024.41	26.23
DISEÑO UTILES/GARRAS	MATERIAL ELÉCTRICO	2024.41	86.78
ARMARIOS ELECTRICOS	MATERIAL ELÉCTRICO	2024.41	92353.91
FABRICACION ELEMENTOS IMPLANTA	MATERIAL ELÉCTRICO	2024.41	32208
DISEÑO SOFTWARE	DISEÑO ELÉCTRICO	2024.21	11440.16
DISEÑO SOFTWARE	DISEÑO ELÉCTRICO	2024.21	16200
PROGRAMA STD PLC SIEMENS	DISEÑO ELÉCTRICO	2024.21	9920.06
PROGRAMA STD PLC SIEMENS	DISEÑO ELÉCTRICO	2024.21	3693.28
DISEÑO SOFTWARE	DISEÑO ELÉCTRICO	2025.1	12758.48
PROGRAMA STD PLC SIEMENS	DISEÑO ELÉCTRICO	2025.1	9920.6
PROGRAMA STD PLC SIEMENS	DISEÑO ELÉCTRICO	2025.1	3693.28
DISEÑO SOFTWARE	DISEÑO ELÉCTRICO	2024.14	11440.16
DISEÑO SOFTWARE	DISEÑO ELÉCTRICO	2024.14	16200
PROGRAMA STD PLC SIEMENS	DISEÑO ELÉCTRICO	2024.14	9920.06
PROGRAMA STD PLC SIEMENS	DISEÑO ELÉCTRICO	2024.14	3693.28
DISEÑO SOFTWARE	DISEÑO ELÉCTRICO	2024.41	11586.64
ROBCAD	ROBCAD	2024.21	37364.6
ROBCAD	ROBCAD	2025.1	46262.93
ROBCAD	ROBCAD	2024.14	32127.04
ROBCAD	ROBCAD	2024.41	42142.55
PUESTA EN MARCHA EN SERRA	DISEÑO ELÉCTRICO	2024.21	585.92
PUESTA EN MARCHA EN SERRA	DISEÑO ELÉCTRICO	2024.21	114750
PUESTA EN MARCHA EN SERRA	DISEÑO ELÉCTRICO	2025.1	22061.36
PUESTA EN MARCHA EN SERRA	DISEÑO ELÉCTRICO	2025.1	18000
PUESTA EN MARCHA EN SERRA	DISEÑO ELÉCTRICO	2024.41	878.88
PUESTA EN MARCHA EN SERRA	DISEÑO ELÉCTRICO	2024.41	18000
PUESTA EN MARCHA EN SERRA	DISEÑO ELÉCTRICO	2024.14	114750
PUESTA EN MARCHA EN SERRA	ROBÓTICA	2024.21	1293.2
PUESTA EN MARCHA EN SERRA	ROBÓTICA	2024.21	115850
PUESTA EN MARCHA EN SERRA	ROBÓTICA	2025.1	49475.35
PUESTA EN MARCHA EN SERRA	ROBÓTICA	2024.41	5075.36
PUESTA EN MARCHA EN SERRA	ROBÓTICA	2024.14	115850
PUESTA EN MARCHA EN SERRA	MONTAJE MECÁNICO	2024.21	3841.6
PUESTA EN MARCHA EN SERRA	MONTAJE MECÁNICO	2025.1	19352.3
PUESTA EN MARCHA EN SERRA	MONTAJE MECÁNICO	2024.41	10461.5
DESMONTAJE	MONTAJE MECÁNICO	2024.21	3960
DESMONTAJE	MONTAJE MECÁNICO	2024.21	6588
DESMONTAJE	MONTAJE MECÁNICO	2025.1	3960
DESMONTAJE	MONTAJE MECÁNICO	2025.1	6588
DESMONTAJE	MONTAJE MECÁNICO	2024.14	19800
DESMONTAJE	MONTAJE MECÁNICO	2024.14	32940
DESMONTAJE	MONTAJE MECÁNICO	2024.41	3960
DESMONTAJE	MONTAJE MECÁNICO	2024.41	6588
PUESTA EN MARCHA EN PLANTA	DISEÑO ELÉCTRICO	2024.21	140400
PUESTA EN MARCHA EN PLANTA	DISEÑO ELÉCTRICO	2024.14	140400
PUESTA EN MARCHA EN PLANTA	ROBÓTICA	2024.21	118800
PUESTA EN MARCHA EN PLANTA	ROBÓTICA	2024.14	118800
DISEÑO UTILES/GARRAS	DISEÑO MECÁNICO	2024.21	159933.67
DISEÑO UTILES/GARRAS	DISEÑO MECÁNICO	2024.21	26664
DISEÑO ELEMENTOS IMPLANTACION	DISEÑO MECÁNICO	2024.21	5215.98
DISEÑO ELEMENTOS IMPLANTACION	DISEÑO MECÁNICO	2024.21	3694.55
DISEÑO UTILES/GARRAS	DISEÑO MECÁNICO	2025.1	209051.59
DISEÑO UTILES/GARRAS	DISEÑO MECÁNICO	2025.1	29023.5
DISEÑO ELEMENTOS IMPLANTACION	DISEÑO MECÁNICO	2025.1	18005.6
DISEÑO ELEMENTOS IMPLANTACION	DISEÑO MECÁNICO	2025.1	3694.55
COSTES EVITABLES PROVEEDORES	DISEÑO MECÁNICO	2025.1	98.49
DISEÑO UTILES/GARRAS	DISEÑO MECÁNICO	2024.14	153395.57
DISEÑO UTILES/GARRAS	DISEÑO MECÁNICO	2024.14	26664
DISEÑO ELEMENTOS IMPLANTACION	DISEÑO MECÁNICO	2024.14	5215.98
DISEÑO ELEMENTOS IMPLANTACION	DISEÑO MECÁNICO	2024.14	3694.55
DISEÑO UTILES/GARRAS	DISEÑO MECÁNICO	2024.41	190446.05
DISEÑO UTILES/GARRAS	DISEÑO MECÁNICO	2024.41	29023.5
DISEÑO ELEMENTOS IMPLANTACION	DISEÑO MECÁNICO	2024.41	7120.13
DISEÑO ELEMENTOS IMPLANTACION	DISEÑO MECÁNICO	2024.41	3694.55
DISEÑO UTILES/GARRAS	FABRICACIÓN MECÁNICA	2024.21	25
FABRICACION ELEMENTOS IMPLANTA	FABRICACIÓN MECÁNICA	2024.21	280974.05
FABRICACION ELEMENTOS IMPLANTA	FABRICACIÓN MECÁNICA	2024.21	12070.5
FABRICACION ELEMENTOS IMPLANTA	FABRICACIÓN MECÁNICA	2024.21	78300
MONTAJE EN SERRA	FABRICACIÓN MECÁNICA	2024.21	208.33
FABRICACION UTILES/GARRAS	FABRICACIÓN MECÁNICA	2024.21	341874.8
FABRICACION UTILES/GARRAS	FABRICACIÓN MECÁNICA	2024.21	412.5
DISEÑO UTILES/GARRAS	FABRICACIÓN MECÁNICA	2025.1	25
RECEPCION UTILES	FABRICACIÓN MECÁNICA	2025.1	19.75
ARMARIOS ELECTRICOS	FABRICACIÓN MECÁNICA	2025.1	57.23
FABRICACION ELEMENTOS IMPLANTA	FABRICACIÓN MECÁNICA	2025.1	336869.5
FABRICACION ELEMENTOS IMPLANTA	FABRICACIÓN MECÁNICA	2025.1	24014.5
FABRICACION ELEMENTOS IMPLANTA	FABRICACIÓN MECÁNICA	2025.1	78300
MONTAJE EN SERRA	FABRICACIÓN MECÁNICA	2025.1	208.33
FABRICACION UTILES/GARRAS	FABRICACIÓN MECÁNICA	2025.1	499932.8
FABRICACION UTILES/GARRAS	FABRICACIÓN MECÁNICA	2025.1	30524.95
ENR. UTILES/GARRAS	FABRICACIÓN MECÁNICA	2025.1	105.8
ENR. UTILES/GARRAS	FABRICACIÓN MECÁNICA	2025.1	6393
DISEÑO UTILES/GARRAS	FABRICACIÓN MECÁNICA	2024.14	25
FABRICACION ELEMENTOS IMPLANTA	FABRICACIÓN MECÁNICA	2024.14	7001
FABRICACION ELEMENTOS IMPLANTA	FABRICACIÓN MECÁNICA	2024.14	78300
FABRICACION ELEMENTOS IMPLANTA	FABRICACIÓN MECÁNICA	2024.14	258996.05
MONTAJE EN SERRA	FABRICACIÓN MECÁNICA	2024.14	208.33
FABRICACION UTILES/GARRAS	FABRICACIÓN MECÁNICA	2024.14	412.5
FABRICACION UTILES/GARRAS	FABRICACIÓN MECÁNICA	2024.14	352361.8
DISEÑO UTILES/GARRAS	FABRICACIÓN MECÁNICA	2024.41	25
FABRICACION ELEMENTOS IMPLANTA	FABRICACIÓN MECÁNICA	2024.41	280974.05
FABRICACION ELEMENTOS IMPLANTA	FABRICACIÓN MECÁNICA	2024.41	13150.5
FABRICACION ELEMENTOS IMPLANTA	FABRICACIÓN MECÁNICA	2024.41	78300
MONTAJE EN SERRA	FABRICACIÓN MECÁNICA	2024.41	208.33
RECEPCION UTILES	MATERIAL FLUIDOS	2024.21	141.6
FABRICACION ELEMENTOS IMPLANTA	MATERIAL FLUIDOS	2024.21	201.29
MONTAJE EN SERRA	MATERIAL FLUIDOS	2024.21	2623.69
FABRICACION UTILES/GARRAS	MATERIAL FLUIDOS	2024.21	809.14
ENR. UTILES/GARRAS	MATERIAL FLUIDOS	2024.21	92851.75
RECEPCION UTILES	MATERIAL FLUIDOS	2025.1	146.47
ARMARIOS ELECTRICOS	MATERIAL FLUIDOS	2025.1	293.7
FABRICACION ELEMENTOS IMPLANTA	MATERIAL FLUIDOS	2025.1	201.29
MONTAJE EN SERRA	MATERIAL FLUIDOS	2025.1	3744.35
FABRICACION UTILES/GARRAS	MATERIAL FLUIDOS	2025.1	809.14
ENR. UTILES/GARRAS	MATERIAL FLUIDOS	2025.1	99608.44
MONTAJE EN SERRA	MATERIAL FLUIDOS	2024.14	496.52
ENR. UTILES/GARRAS	MATERIAL FLUIDOS	2024.14	91826.6
RECEPCION UTILES	MATERIAL FLUIDOS	2024.41	141.6
FABRICACION ELEMENTOS IMPLANTA	MATERIAL FLUIDOS	2024.41	201.29
ARMARIOS ELECTRICOS	FABRICACIÓN ELÉCTRICA	2024.21	2466.3
ARMARIOS ELECTRICOS	FABRICACIÓN ELÉCTRICA	2024.21	20693.56
ARMARIOS ELECTRICOS	FABRICACIÓN ELÉCTRICA	2025.1	8210.24
ARMARIOS ELECTRICOS	FABRICACIÓN ELÉCTRICA	2025.1	20693.56
ARMARIOS ELECTRICOS	FABRICACIÓN ELÉCTRICA	2024.14	717.66
ARMARIOS ELECTRICOS	FABRICACIÓN ELÉCTRICA	2024.14	20693.55
ARMARIOS ELECTRICOS	FABRICACIÓN ELÉCTRICA	2024.41	3668.49
ARMARIOS ELECTRICOS	FABRICACIÓN ELÉCTRICA	2024.41	20693.56
ENR. UTILES/GARRAS	FABRICACIÓN MECÁNICA	2024.21	2687
PUESTA EN MARCHA EN SERRA	FABRICACIÓN MECÁNICA	2025.1	2671.25
COSTES EVITABLES	FABRICACIÓN MECÁNICA	2025.1	4246
COSTES EVITABLES PROVEEDORES	FABRICACIÓN MECÁNICA	2025.1	580
ENR. UTILES/GARRAS	FABRICACIÓN MECÁNICA	2024.14	2135
ENR. UTILES/GARRAS	INSTALACIÓN E.N.R.	2024.21	52355
ARMARIOS ELECTRICOS	INSTALACIÓN E.N.R.	2025.1	2649.84
ENR. UTILES/GARRAS	INSTALACIÓN E.N.R.	2024.14	52355
FABRICACION UTILES/GARRAS	METROLOGÍA	2024.21	6396.65
COSTES EVITABLES PROVEEDORES	METROLOGÍA	2024.21	78.55
RECEPCION UTILES	METROLOGÍA	2025.1	238.48
FABRICACION UTILES/GARRAS	METROLOGÍA	2025.1	15383.88
COSTES EVITABLES	METROLOGÍA	2025.1	69.1
COSTES EVITABLES PROVEEDORES	METROLOGÍA	2025.1	78.55
FABRICACION UTILES/GARRAS	METROLOGÍA	2024.14	4682.97
COSTES EVITABLES PROVEEDORES	METROLOGÍA	2024.14	78.55
PUESTA EN MARCHA EN PLANTA	DISEÑO ELÉCTRICO	2025.1	219.72
DESMONTAJE	INSTALACIÓN E.N.R.	2025.1	1985.44
DESMONTAJE	INSTALACIÓN E.N.R.	2024.41	309.66
PUESTA EN MARCHA EN PLANTA	ROBÓTICA	2025.1	575.74
PUESTA EN MARCHA EN PLANTA	ROBÓTICA	2024.41	425.16
MONTAJE EN SERRA	MATERIAL ELÉCTRICO	2024.41	72159.02
MONTAJE EN SERRA	MATERIAL FLUIDOS	2024.41	2623.69
FABRICACION UTILES/GARRAS	FABRICACIÓN MECÁNICA	2024.41	3220.5
FABRICACION UTILES/GARRAS	FABRICACIÓN MECÁNICA	2024.41	362753.8
FABRICACION UTILES/GARRAS	MONTAJE MECÁNICO	2024.41	1521.16
FABRICACION UTILES/GARRAS	METROLOGÍA	2024.41	7281.13
FABRICACION UTILES/GARRAS	MATERIAL MECÁNICO	2024.41	96848.12
FABRICACION UTILES/GARRAS	MATERIAL ELÉCTRICO	2024.41	48.56
FABRICACION UTILES/GARRAS	MATERIAL FLUIDOS	2024.41	809.14
ENR. UTILES/GARRAS	MATERIAL MECÁNICO	2024.41	8
ENR. UTILES/GARRAS	MATERIAL MECÁNICO	2024.41	667.84
ENR. UTILES/GARRAS	MATERIAL MECÁNICO	2024.41	8268.32
ENR. UTILES/GARRAS	FABRICACIÓN MECÁNICA	2024.41	4613
ENR. UTILES/GARRAS	INSTALACIÓN E.N.R.	2024.41	72.86
ENR. UTILES/GARRAS	INSTALACIÓN E.N.R.	2024.41	52355
ENR. UTILES/GARRAS	MATERIAL ELÉCTRICO	2024.41	106671.67
ENR. UTILES/GARRAS	MATERIAL FLUIDOS	2024.41	94086.87
GRANDES COMPRAS	MATERIAL MECÁNICO	2024.41	409160.8
PROGRAMA STD PLC SIEMENS	DISEÑO ELÉCTRICO	2024.41	9920.06
PROGRAMA STD PLC SIEMENS	DISEÑO ELÉCTRICO	2024.41	3693.28
COSTES EVITABLES	FABRICACIÓN MECÁNICA	2024.41	2382
COSTES EVITABLES PROVEEDORES	METROLOGÍA	2024.41	78.55
GESTION Y COORDINACION	GESTIÓN DE PROYECTOS	2024.17	33655.44
GESTION Y COORDINACION	GESTIÓN MECÁNICA	2024.17	46290.7
GESTION Y COORDINACION	DISEÑO ELÉCTRICO	2024.17	12921.5
GESTION Y COORDINACION	ROBÓTICA	2024.17	166.2
GESTION Y COORDINACION	MONTAJE MECÁNICO	2024.17	3589.1
GESTION Y COORDINACION	INSTALACIÓN E.N.R.	2024.17	5662.39
DISEÑO HARDWARE	DISEÑO ELÉCTRICO	2024.17	1464.8
DISEÑO HARDWARE	DISEÑO ELÉCTRICO	2024.17	15000
DISEÑO HARDWARE	DISEÑO NR	2024.17	5319.73
DISEÑO HARDWARE	MATERIAL MECÁNICO	2024.17	20.8
DISEÑO HARDWARE	MATERIAL ELÉCTRICO	2024.17	26.23
DISEÑO SOFTWARE	DISEÑO ELÉCTRICO	2024.17	11440.16
DISEÑO SOFTWARE	DISEÑO ELÉCTRICO	2024.17	16200
DISEÑO SOFTWARE	ROBÓTICA	2024.17	24999.45
ROBCAD	ROBCAD	2024.17	32127.4
PUESTA EN MARCHA EN SERRA	DISEÑO ELÉCTRICO	2024.17	114750
PUESTA EN MARCHA EN SERRA	ROBÓTICA	2024.17	115850
DESMONTAJE	MONTAJE MECÁNICO	2024.17	19800
